category,period,amount,actual_roi
HAWAII,1993-01,5605688,0.9888452586016203
HAWAII,1994-01,5805649,0.9814131029967537
HAWAII,1995-01,6014741,0.9605605627906505
HAWAII,1996-01,5946676,1.0734311067224782
HAWAII,1997-01,6093375,1.0996442858022033
HAWAII,1998-01,5860425,1.153626230179552
HAWAII,1999-01,6265729,1.060751270921548
HAWAII,2000-01,6604609,1.0508778036671058
HAWAII,2001-01,6792058,0.9704195694441949
HAWAII,2002-01,7445512,0.7882216830756569
HAWAII,2003-01,7611286,0.8944818260672375
HAWAII,2004-01,7875322,1.0692677708924156
HAWAII,2012-01,11682152,0.9060231368330082
HAWAII,2013-01,11719130,1.13834866581393
HAWAII,2014-01,12330263,1.1479515076036901
HAWAII,2015-01,11863592,1.1172208214847577
HAWAII,2016-01,12365540,1.085768353019763
HAWAII,2017-01,12692153,1.3163501889710911
HAWAII,2018-01,13659807,1.2104874541785253
HAWAII,2019-01,14246298,1.1712261669663235
IDAHO,1992-01,2604107,1.0856827311627364
IDAHO,1993-01,2775537,1.2260495896830055
IDAHO,1994-01,2989324,1.2138142268954453
IDAHO,1995-01,3360314,1.1443350234531653
IDAHO,1996-01,3501298,1.2520156810417165
IDAHO,1997-01,3674210,1.1673728502181422
IDAHO,1998-01,3785613,1.2429091404747394
IDAHO,1999-01,4230335,1.1513097662478267
IDAHO,2000-01,4492552,1.2412285934586844
IDAHO,2001-01,4951659,1.067540595990152
IDAHO,2002-01,5234047,0.8574000195259996
IDAHO,2003-01,5415138,1.014377288261167
IDAHO,2004-01,5762624,1.234223159449584
IDAHO,2012-01,8299878,1.0078418020120297
IDAHO,2013-01,8531736,1.145790141654641
IDAHO,2014-01,8735788,1.1961432672129864
IDAHO,2015-01,8869375,1.0586368261574237
IDAHO,2016-01,9161671,1.03277950059547
IDAHO,2017-01,9584602,1.223103578009812
IDAHO,2018-01,10438522,1.156118749378504
IDAHO,2019-01,11152978,1.0767139503009868
ILLINOIS,1992-01,26831659,1.0384986258210869
ILLINOIS,1993-01,28125650,1.0791172470680677
ILLINOIS,1994-01,29448511,1.0831314017880225
ILLINOIS,1995-01,32991313,1.051461728728408
ILLINOIS,1996-01,34111276,1.0911809924671243
ILLINOIS,1997-01,35301874,1.1058355145678669
ILLINOIS,1998-01,35685258,1.133812091256283
ILLINOIS,1999-01,38313971,1.1299911982498498
ILLINOIS,2000-01,41182904,1.178257609031165
ILLINOIS,2001-01,45170257,1.0482162410543734
ILLINOIS,2002-01,49131377,0.8364266077867103
ILLINOIS,2003-01,51291090,0.8660924928676696
ILLINOIS,2004-01,54861810,1.0869670541310978
ILLINOIS,2012-01,78153823,0.8897714063200721
ILLINOIS,2013-01,80697442,1.1010009957936462
ILLINOIS,2014-01,83735573,1.1023470514735714
ILLINOIS,2015-01,85262193,0.9509622864145659
ILLINOIS,2016-01,79673954,0.9301529706935343
ILLINOIS,2017-01,87361156,1.087818755511889
ILLINOIS,2018-01,92334732,1.0870737459875879
ILLINOIS,2019-01,90637346,1.0146564750472724
INDIANA,1992-01,12340722,1.1325920801068203
INDIANA,1993-01,14136343,1.0379738239232028
INDIANA,1994-01,15048020,1.0508669579120709
INDIANA,1995-01,15284083,1.0638855468136361
INDIANA,1996-01,15367687,1.0769309005317456
INDIANA,1997-01,16370436,1.0712516148012186
INDIANA,1998-01,17223182,1.074583488695643
INDIANA,1999-01,18613822,1.028754975737922
INDIANA,2000-01,20289362,1.008232195768403
INDIANA,2001-01,21583665,0.9621613382157294
INDIANA,2002-01,22205168,0.9059171270399755
INDIANA,2003-01,23089940,1.0633805458134582
INDIANA,2004-01,25487654,1.0573823310689952
INDIANA,2012-01,35952271,0.9490826045453429
INDIANA,2013-01,36737110,1.021977667813282
INDIANA,2014-01,37126721,1.0386014698146921
INDIANA,2015-01,37405636,1.041935044227025
INDIANA,2016-01,39249194,1.0185785980726128
INDIANA,2017-01,40870722,1.0821211575366836
INDIANA,2018-01,41703405,1.1096613094302492
INDIANA,2019-01,43294469,1.1021687088944319
IOWA,1992-01,7196808,1.046964432009302
IOWA,1993-01,7766918,1.0588624728624663
IOWA,1994-01,8101063,1.106119900561198
